ATTEMPT_TIMES,COST,GAP
1,5638,0.320285
2,5636,0.284698
3,5625,0.088968
4,5624,0.0711744
5,5625,0.088968
6,5629,0.160142
7,5625,0.088968
8,5625,0.088968
9,5623,0.0533808
10,5634,0.24911
11,5622,0.0355872
12,5627,0.124555
13,5628,0.142349
14,5639,0.338078
15,5630,0.177936
16,5628,0.142349
17,5626,0.106762
18,5628,0.142349
19,5631,0.19573
20,5621,0.0177936
21,5640,0.355872
22,5620,0
23,5636,0.284698
24,5626,0.106762
25,5627,0.124555
26,5629,0.160142
27,5623,0.0533808
28,5625,0.088968
29,5620,0
30,5620,0
